Category,Name,Variant Name,Price,URL,Image,Alcool,Type,uid
Bière,Blonde Belge,,6.25,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/blonde-belge,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/l_apothicaire_blonde_belge_600_714.png?v=1617740643,5.5%,blonde,36af95f4367340d0a29948600be98ccc
Bière,Flume,,5.75,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/flume,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/saint_pancrace_flume_600_714.png?v=1617571439,5.2%,blonde,b4c2e9785d87436e992fb78a1f339726
Bière,Sérénité,,5.75,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/serenite,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/noctem_serenite_600_714.png?v=1617641172,5%,blonde,d179a945a84d41c9831cf56308623bcd
Bière,Coup de foudre - Světlé Výčepní,,6.00,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/coup-de-foudre-svetle-vycepni,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/les_grands_bois_coup_de_foudre_svetle_vycepni_600_714.png?v=1619194664,4.5%,blonde,4e204d488e254956ac362121cbeb5d85
Bière,Boire Prague et mourir,,4.25,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/boire-prague-et-mourir,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/dieu_du_ciel_boire_prague_et_mourir_600_714.png?v=1616031804,5.1%,blonde,f732e5354a914c38861632e89a9af03c
Bière,Brett Collaborative Dindon Sauvage,,7.25,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/brett-collaborative-dindon-sauvage,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/sutton_brouerie_dindon_sauvage_600_714.png?v=1616016465,5.9%,blonde,3c2a8efecdd84c7b8437be61a0da6cf9
Bière,Munich Helles,,5.75,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/munich-helles,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/ma_brasserie_munich_helles_600_714.png?v=1616082029,5.2%,blonde,643666787fbb4e88a1384ae11a004c1c
Bière,Poivre,,6.25,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/poivre,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/menaud_poivre_600_714.png?v=1615916343,5.8%,blonde,ad6df4dbfecf4610a6f16eca890f4aba
Bière,Grisette I,,7.75,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/grisette,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/isle_de_garde_grisette_i_600_714.png?v=1615919969,4.8%,blonde,44bed681b9014f1f990780728eb40c57
Bière,Hommage Pils,,7.75,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/hommage-pils,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/castor_hommage_pils_600_714.png?v=1616092241,6.2%,blonde,890d832ec5b043488043ff4b26e7d837
Bière,Louvain,,6.00,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/louvain,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/silo_louvain_600_714.png?v=1616081817,4.5%,blonde,49e005fd7b64498cad5899f430e8cc53
Bière,Heure en friche,,5.50,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/heure-en-friche,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/Griendel_heure_en_friche_600_714.png?v=1617639849,5.2%,blonde,518926b52d714a64809663249e9f683a
Bière,Zibeline,,5.75,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/zibeline,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/dunham_zibeline_600_714.png?v=1616090648,5.8%,blonde,77212f5aef61482fbdbe3d7f9a806474
Bière,Černá,,6.25,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/cerna,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/l_amere_a_boire_cerna_600_714.png?v=1616083684,4.9%,blonde,8be1b79b6f01462ebef629892fde5b11
Bière,Lagerbier,,7.25,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/lagerbier,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/isle_de_garde_lagerbier_600_714.png?v=1616087789,4.8%,blonde,4e35075459b541a7b62caa410f272e12
Bière,Des moines,,6.25,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/des-moines,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/5e_baron_des_moines_600_714.png?v=1616040866,5%,blonde,b3bdb245ad8044c6bb683add9d036187
Bière,Tombola,,4.25,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/tombola,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/veux-tu-une-biere-l-espace-public-tombola.png?v=1619542321,5%,blonde,80f59479a5bf4896981dfda81b631dd9
Bière,Robot Vampire II,,6.00,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/robot-vampire-ii,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/veux-tu-une-biere-les-grands-bois-robot-vampire-ii.png?v=1619723783,3.5%,blonde,8cdfe6514edd4fe79afa768ec6f160b7
Bière,Maltéhops,,6.00,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/maltehops,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/veux-tu-une-biere-maltstrom-maltehops.png?v=1618681212,6.1%,blonde,71082d523d0d4b73893901cdf388a786
Bière,Vienna lager,,5.50,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/vienna-lager,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/hopfenstark_vienna_lager_600_714.png?v=1617567550,5.5%,blonde,518ee28ca5ea4ffdad8378a9cecd3a00
Bière,Pilsner blonde,,3.50,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/pilsner-blonde,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/l_hermite_pilsner_blonde_600_714.png?v=1616083050,4.2%,blonde,b64b609503974a759f04422d6672a2d2
Bière,Poincaré Kölsch,,6.00,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/poincarre-kolsch,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/les_grands_bois_poincare_kolsch_600_714.png?v=1616031225,5%,blonde,e76b5e1480534d4db23274363057dada
Bière,Bingo Pivo,,6.00,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/bingo-pivo,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/les_grands_bois_bingo_pivo_600_714.png?v=1616080069,4.5%,blonde,ee572e4c8f464e799b521634a6848ff6
Bière,Grisette de campagne,,6.00,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/grisette-de-campagne,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/la_knowlton_co_grisette_de_campagne_600_714.png?v=1615919146,4.8%,blonde,1e86dc64b19847c8bb1c5c3a4a879169
Bière,Pilsner Neo Zelandaise,,5.50,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/pilsner-neo-zelandaise,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/maltstrom_pilsner_neo_zelandaise_600_714.png?v=1616088067,4.5%,blonde,150415166e5a4319921cb5b6fd10b81c
Bière,Svelty 10 Plato,,5.50,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/svelty-10-plato,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/veux-tu-une-biere-placeholder_e9c17ba9-fe80-487c-941c-981683f218d1.png?v=1620330182,3.7%,blonde,2066602190be4735831508cfd8f299c0
